Город;ID;URL_имя;Категория;Количество
Жигулевск;57565;zhigulevsk;kottedzhi;7
Жигулевск;57565;zhigulevsk;taunhaus;158
Жигулевск;57565;zhigulevsk;zemlya_izhs;114
Жигулевск;57565;zhigulevsk;zemlya_selhoznaznacheniya;67
Жигулевск;57565;zhigulevsk;zemlya_promnaznacheniya;3
Жигулевск;57565;zhigulevsk;garazhi_m;40
Жигулевск;57565;zhigulevsk;ofisy;6
Жигулевск;57565;zhigulevsk;pomesh;14
Жигулевск;57565;zhigulevsk;sklady;2
Жигулевск;57565;zhigulevsk;magaziny;8
Жигулевск;57565;zhigulevsk;proizvodstvo;6
Кинель;34472;kinel;kvartiry;182
Кинель;34472;kinel;dom;296
Кинель;34472;kinel;dachi;13
Кинель;34472;kinel;kottedzhi;28
Кинель;34472;kinel;taunhaus;835
Кинель;34472;kinel;zemlya_izhs;323
Кинель;34472;kinel;zemlya_selhoznaznacheniya;93
Кинель;34472;kinel;zemlya_promnaznacheniya;9
Кинель;34472;kinel;garazhi_m;38
Кинель;34472;kinel;ofisy;3
Кинель;34472;kinel;pomesh;14
Кинель;34472;kinel;sklady;7
Кинель;34472;kinel;magaziny;9
Кинель;34472;kinel;proizvodstvo;14
Нефтегорск;18732;samarskaya_oblast_neftegorsk;kvartiry;116
Нефтегорск;18732;samarskaya_oblast_neftegorsk;dom;108
Нефтегорск;18732;samarskaya_oblast_neftegorsk;dachi;1
Нефтегорск;18732;samarskaya_oblast_neftegorsk;kottedzhi;1
Нефтегорск;18732;samarskaya_oblast_neftegorsk;taunhaus;1
Нефтегорск;18732;samarskaya_oblast_neftegorsk;zemlya_izhs;71
Нефтегорск;18732;samarskaya_oblast_neftegorsk;zemlya_selhoznaznacheniya;6
Нефтегорск;18732;samarskaya_oblast_neftegorsk;zemlya_promnaznacheniya;4
Нефтегорск;18732;samarskaya_oblast_neftegorsk;garazhi_m;14
Нефтегорск;18732;samarskaya_oblast_neftegorsk;ofisy;4
Нефтегорск;18732;samarskaya_oblast_neftegorsk;pomesh;10
Нефтегорск;18732;samarskaya_oblast_neftegorsk;sklady;3
Нефтегорск;18732;samarskaya_oblast_neftegorsk;magaziny;9
Нефтегорск;18732;samarskaya_oblast_neftegorsk;proizvodstvo;3
Новокуйбышевск;108449;novokuybyshevsk;kvartiry;753
Новокуйбышевск;108449;novokuybyshevsk;dom;228
Новокуйбышевск;108449;novokuybyshevsk;dachi;131
Новокуйбышевск;108449;novokuybyshevsk;kottedzhi;20
Новокуйбышевск;108449;novokuybyshevsk;taunhaus;1
Новокуйбышевск;108449;novokuybyshevsk;zemlya_izhs;145
Новокуйбышевск;108449;novokuybyshevsk;zemlya_selhoznaznacheniya;196
Новокуйбышевск;108449;novokuybyshevsk;zemlya_promnaznacheniya;7
Новокуйбышевск;108449;novokuybyshevsk;garazhi_m;106
Новокуйбышевск;108449;novokuybyshevsk;ofisy;8
